1.75,0.8,-1.5707963267949,0.0
1.75,1.45,-1.5707963267949,0.3
1.4,2.0,,0.3
1.00720574954846,2.38145319084889,0.0,0.3
0.58,2.71493076459964,,0.3
0.62,3.0,,0.3
0.62,3.25,,
0.62,3.5,,
0.62,3.75,,
0.62,4.0,,
0.62,4.25,,
0.62,4.5,,
0.62,4.75,,
0.62,5.0,,
0.62,5.25,,
0.62,5.5,,
0.62,5.75,,
0.62,6.0,,
0.62,6.25,,
0.62,6.5,,
0.62,6.75,,
0.62,7.0,,
0.62,7.25,,
0.62,7.5,,0.4
0.62,7.75,,0.4
0.62,8.0,0.0,0.4
0.697204244431063,8.3358857615894,,0.4
0.820812010836844,8.61743678506924,,0.4
1.07828115593016,8.79156005418423,,0.4
1.25,8.75,,0.4
1.5,8.75,,0.4
1.8,8.65,-1.5707963267949,0.4
2.0,8.6,-1.5707963267949,
2.25,8.6,-1.5707963267949,
2.5,8.62,-1.5707963267949,
2.75,8.62,,
3.0,8.62,,
3.25,8.62,,
3.5,8.62,,
3.75,8.62,,
4.0,8.62,-1.5707963267949,
4.25,8.62,,
4.5,8.7,,
4.8,8.8,,
5.2,9.4,,
5.2,10.2,,
5.0,10.75,-1.5707963267949,
4.12,11.0,,
2.7,11.0,3.14159265358979,0.4
2.35,11.0,,0.4
1.9,11.0,,0.28
1.5,11.0,3.14159265358979,0.0
